name,mnemonic,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,Not classified
South Staffordshire,E07000196,8603,18526,11805,8830,5826,10885,8236,2897,5110
Stafford,E07000197,11388,23115,13022,8901,6815,12789,9896,3297,8074
Staffordshire Moorlands,E07000198,6414,14910,9128,8949,5975,10864,9562,2169,4114
Tamworth,E07000199,4162,10329,7920,4299,5090,10129,8980,2486,3438
North Warwickshire,E07000218,3822,9026,6131,4928,3844,7225,6971,1666,2557
Nuneaton and Bedworth,E07000219,6588,16868,12700,6710,8031,15643,15240,4645,5665
Rugby,E07000220,8501,15948,9416,6216,5867,9893,9814,2548,4556
Stratford-on-Avon,E07000221,12922,21701,11047,11263,5635,10691,7401,1982,5086
Warwick,E07000222,17030,24230,12071,8581,5865,11672,7817,2949,12668
Birmingham,E08000025,59380,122797,86220,52563,46045,107964,86429,94401,104453
Coventry,E08000026,17404,37405,28358,14857,16115,33998,30641,17113,35980
Dudley,E08000027,17062,41890,32230,18790,17362,38517,31425,14461,14989
Sandwell,E08000028,10980,31565,26140,14940,16713,41482,37525,22684,17479
Solihull,E08000029,19844,33782,22019,12716,9526,19765,13497,6770,10441
Walsall,E08000030,11829,30601,22932,15430,14737,34190,29536,18412,14307
Wolverhampton,E08000031,10767,28425,20247,12503,12791,32474,27754,18017,17005
Bromsgrove,E07000234,9398,16820,9350,7418,4424,7931,5844,2177,4445
Malvern Hills,E07000235,7113,12964,6116,7318,3297,6858,4484,1667,3695
Redditch,E07000236,5396,11970,8303,5227,5086,11204,8454,2763,4120
Worcester,E07000237,7408,15973,9205,5490,5296,11215,8325,3224,7246
Wychavon,E07000238,10312,19489,10973,10625,6015,11738,8911,2557,4861
Wyre Forest,E07000239,6232,14660,8832,7451,5676,11758,10449,3357,3916
Bedford,E06000055,12548,24317,15193,10402,7433,15073,12632,6094,10072
Central Bedfordshire,E06000056,22439,44585,27630,19669,13389,22716,17860,5694,12676
Luton,E06000032,9273,23071,17750,12718,10337,20514,18851,14368,18326
Peterborough,E06000031,10831,23920,18795,9976,10082,21106,20175,9011,8422
Southend-on-Sea,E06000033,11716,27196,20033,13221,8327,17736,12002,6819,7957
Thurrock,E06000034,7752,21451,17585,10488,9765,18269,15514,6379,6921
Cambridge,E07000008,18867,17971,7587,5289,4113,8267,6421,3054,26714
East Cambridgeshire,E07000009,7869,14038,7912,7008,4503,8394,6204,1658,3128
Fenland,E07000010,4118,11363,8617,7494,6241,13504,10940,3409,3572
Huntingdonshire,E07000011,15883,29720,18176,11461,9326,17080,12710,3851,7139
South Cambridgeshire,E07000012,20597,27321,13884,10825,6444,11285,7891,2471,7061
Basildon,E07000066,11260,25249,21053,12794,8970,18721,14469,6153,7126
Braintree,E07000067,10600,23427,15368,12341,8035,16026,11412,3824,5685
Brentwood,E07000068,8040,13833,8934,5776,2736,5338,3277,1594,3431
Castle Point,E07000069,5044,12314,11320,7962,5105,10098,7055,2364,3364
Chelmsford,E07000070,16530,30570,19937,11863,7563,15161,9857,3818,8394
Colchester,E07000071,13711,29004,17418,11684,8154,18241,11087,4881,14382
Epping Forest,E07000072,11086,21078,14332,12612,5172,9870,7031,3426,6015
Harlow,E07000073,4159,11448,8884,5269,4602,9549,7959,2999,3800
Maldon,E07000074,5037,10300,6543,6249,3161,6301,4213,1351,2251
Rochford,E07000075,6127,13680,11705,7041,4148,7951,4936,1602,3235
Tendring,E07000076,5901,17497,12906,11812,7883,18046,12417,5417,5171
Uttlesford,E07000077,8483,14683,7636,7474,3366,6287,4223,1309,3625
Broxbourne,E07000095,5755,13419,11083,8242,4819,9380,7315,2934,4652
Dacorum,E07000096,13917,26362,15072,10771,6371,12335,9167,3709,6706
East Hertfordshire,E07000242,15578,26381,14420,10858,5917,10258,7499,2542,6640
Hertsmere,E07000098,9457,17193,10664,8513,3791,7742,5068,2893,6190
North Hertfordshire,E07000099,14187,23008,12573,8702,5725,10949,7777,2872,5717
St Albans,E07000240,21051,29219,12322,9095,4202,8443,5392,2991,7148
Stevenage,E07000243,5797,12801,9167,5360,4733,9334,6716,2736,4344
Three Rivers,E07000102,9583,16171,9180,7178,3351,6418,4218,1981,4360
Watford,E07000103,8031,15851,9434,6209,4236,8242,5878,3253,5151
Welwyn Hatfield,E07000241,9769,16994,10436,6781,4631,9311,6662,2681,14249
Breckland,E07000143,7049,17887,11701,10649,8448,16779,13413,3423,4827
Broadland,E07000144,8735,19752,13970,10599,7017,14349,8829,2281,4773
