Counting.Officer,Region,Estimated.time.for.completing.the.verification,Estimated.time.for.completing.the.count,Datetime,GSSCode,MatchName
Pendle,North West,1.00am,3.00am,2016-06-24 03:00:00,E07000122,Pendle
Perth and Kinross,Scotland,1.00am,3.00am,2016-06-24 03:00:00,S12000024,Perth and Kinross
Peterborough,Eastern,1.00am,3.00am,2016-06-24 03:00:00,E06000031,Peterborough
Renfrewshire,Scotland,1.00am,3.00am,2016-06-24 03:00:00,S12000038,Renfrewshire
Rochdale,North West,1.00am,3.00am,2016-06-24 03:00:00,E08000005,Rochdale
Sedgemoor,South West,1.00am,3.00am,2016-06-24 03:00:00,E07000188,Sedgemoor
Shepway,South Eastern,12.00am,3.00am,2016-06-24 03:00:00,E07000112,Shepway
South Bucks,South Eastern,12.00am,3.00am,2016-06-24 03:00:00,E07000006,South Bucks
Southend-on-Sea,Eastern,12.30am,3.00am,2016-06-24 03:00:00,E06000033,Southend-on-Sea
Southwark,London,1.00am,3.00am,2016-06-24 03:00:00,E09000028,Southwark
St Albans,Eastern,1.00am,3.00am,2016-06-24 03:00:00,E07000240,St Albans
Stratford-on-Avon,West Midlands,1.00am,3.00am,2016-06-24 03:00:00,E07000221,Stratford-on-Avon
Thanet,South Eastern,1.00am,3.00am,2016-06-24 03:00:00,E07000114,Thanet
Torbay,South West,1.00am,3.00am,2016-06-24 03:00:00,E06000027,Torbay
Torfaen,Wales,12.30am,3.00am,2016-06-24 03:00:00,W06000020,Torfaen
Uttlesford,Eastern,1.30am,3.00am,2016-06-24 03:00:00,E07000077,Uttlesford
Warwick,West Midlands,1.30am,3.00am,2016-06-24 03:00:00,E07000222,Warwick
West Berkshire,South Eastern,12.30am,3.00am,2016-06-24 03:00:00,E06000037,West Berkshire
West Dunbartonshire,Scotland,1.00am,3.00am,2016-06-24 03:00:00,S12000039,West Dunbartonshire
West Oxfordshire,South Eastern,1.00am ,3.00am,2016-06-24 03:00:00,E07000181,West Oxfordshire
West Somerset,South West,1.00am,3.00am,2016-06-24 03:00:00,E07000191,West Somerset
Weymouth,South West,1.00am,3.00am,2016-06-24 03:00:00,E07000053,Weymouth and Portland
Wyre,North West,1.00am,3.00am,2016-06-24 03:00:00,E07000128,Wyre
Babergh,Eastern,2.00am,3.00am ,2016-06-24 03:00:00,E07000200,Babergh
East Renfrewshire,Scotland,12.30am ,3.00am ,2016-06-24 03:00:00,S12000011,East Renfrewshire
North Ayrshire,Scotland,1.00am ,3.00am ,2016-06-24 03:00:00,S12000021,North Ayrshire
Reading,South Eastern,1.00am ,3.00am ,2016-06-24 03:00:00,E06000038,Reading
Stevenage,Eastern,12.30am ,3.00am ,2016-06-24 03:00:00,E07000243,Stevenage
Wokingham,South Eastern,2.00am,3.00am ,2016-06-24 03:00:00,E06000041,Wokingham
Wycombe,South Eastern ,1.30am,3.00am ,2016-06-24 03:00:00,E07000007,Wycombe
Runnymede,South Eastern,1.00am  ,3.00am  ,2016-06-24 03:00:00,E07000212,Runnymede
Trafford,North West,1.00am,3.00am   ,2016-06-24 03:00:00,E08000009,Trafford
Fife,Scotland,1.30-2.00am,3.30-4.00am,2016-06-24 04:00:00,S12000015,Fife
East Dunbarton,Scotland,12.00-1.30am,3.30-4.30am,2016-06-24 04:30:00,S12000045,East Dunbartonshire
Aberdeen City,Scotland,3.00am,3.30am,2016-06-24 03:30:00,S12000033,Aberdeen City
Bournemouth,South West,12.30am,3.30am,2016-06-24 03:30:00,E06000028,Bournemouth
Brent,London,1.30am,3.30am,2016-06-24 03:30:00,E09000005,Brent
Burnley,North West,1.00am,3.30am,2016-06-24 03:30:00,E07000117,Burnley
Carlisle,North West,1.00am,3.30am,2016-06-24 03:30:00,E07000028,Carlisle
Carmarthenshire,Wales,1.00am,3.30am,2016-06-24 03:30:00,W06000010,Carmarthenshire
Dartford,South Eastern,12.45am ,3.30am,2016-06-24 03:30:00,E07000107,Dartford
Dumfries & Galloway,Scotland,1.30am,3.30am,2016-06-24 03:30:00,S12000006,Dumfries and Galloway
"Edinburgh, City of",Scotland,1.30am,3.30am,2016-06-24 03:30:00,S12000036,City of Edinburgh
Erewash,East Midlands,1.30am,3.30am,2016-06-24 03:30:00,E07000036,Erewash
Forest of Dean,South West,1.30am,3.30am,2016-06-24 03:30:00,E07000080,Forest of Dean
Gedling,East Midlands,1.00am,3.30am,2016-06-24 03:30:00,E07000173,Gedling
Greenwich,London,1.00am,3.30am,2016-06-24 03:30:00,E09000011,Greenwich
Halton,North West,1.00am,3.30am,2016-06-24 03:30:00,E06000006,Halton
Kingston upon Hull,Yorkshire & Humber,1.30am,3.30am,2016-06-24 03:30:00,E06000010,"Kingston upon Hull, City of"
Melton,East Midlands,1.00am,3.30am,2016-06-24 03:30:00,E07000133,Melton
Newark and Sherwood,East Midlands,1.45am,3.30am,2016-06-24 03:30:00,E07000175,Newark and Sherwood
Newport,Wales,1.00am,3.30am,2016-06-24 03:30:00,W06000022,Newport
Portsmouth,South Eastern,1.00am,3.30am,2016-06-24 03:30:00,E06000044,Portsmouth
Powys,Wales,1.30am,3.30am,2016-06-24 03:30:00,W06000023,Powys
Preston,North West,1.30am,3.30am,2016-06-24 03:30:00,E07000123,Preston
Purbeck,South West,12.30am,3.30am,2016-06-24 03:30:00,E07000051,Purbeck
Redbridge,London,12.00am,3.30am,2016-06-24 03:30:00,E09000026,Redbridge
Redcar & Cleveland,North East,1.00am,3.30am,2016-06-24 03:30:00,E06000003,Redcar and Cleveland
Rhondda Cynon Taf,Wales,1.30am,3.30am,2016-06-24 03:30:00,W06000016,"Rhondda, Cynon, Taff"
Rochford,Eastern,1.00am,3.30am,2016-06-24 03:30:00,E07000075,Rochford
Rossendale,North West,1.30am,3.30am,2016-06-24 03:30:00,E07000125,Rossendale
Scarborough,Yorkshire & Humber,12.30am,3.30am,2016-06-24 03:30:00,E07000168,Scarborough
South Derbyshire,East Midlands,1.30am,3.30am,2016-06-24 03:30:00,E07000039,South Derbyshire
South Hams,South West,1.30am,3.30am,2016-06-24 03:30:00,E07000044,South Hams
South Somerset,South West,1.30am,3.30am,2016-06-24 03:30:00,E07000189,South Somerset
Suffolk Coastal,Eastern,1.00am,3.30am,2016-06-24 03:30:00,E07000205,Suffolk Coastal
Surrey Heath,South Eastern,2.00am,3.30am,2016-06-24 03:30:00,E07000214,Surrey Heath
Three Rivers,Eastern,12.30am,3.30am,2016-06-24 03:30:00,E07000102,Three Rivers
Walsall,West Midlands,1.00am,3.30am,2016-06-24 03:30:00,E08000030,Walsall
Barnet,London,2.00am ,3.30am ,2016-06-24 03:30:00,E09000003,Barnet
Cheltenham,South West,12:45am,3.30am ,2016-06-24 03:30:00,E07000078,Cheltenham
Dudley,West Midlands,12.30am,3.30am ,2016-06-24 03:30:00,E08000027,Dudley
Flintshire,Wales,1.00am ,3.30am ,2016-06-24 03:30:00,W06000005,Flintshire
King's Lynn & West Norfolk,Eastern,1.30am ,3.30am ,2016-06-24 03:30:00,E07000146,King`s Lynn and West Norfolk
Lancaster,North West,12.30am,3.30am ,2016-06-24 03:30:00,E07000121,Lancaster
West Lothian,Scotland,12.45am,3.30am ,2016-06-24 03:30:00,S12000040,West Lothian
Taunton Deane,South West,1.30am,3.30pm,2016-06-24 03:30:00,E07000190,Taunton Deane
Mid Ulster,Northern Ireland,2:30am,4:00am,2016-06-24 04:00:00,NA,NA
North East Derbyshire,East Midlands,1:30am,4:30am ,2016-06-24 04:30:00,E07000038,North East Derbyshire
Welwyn Hatfield,South Eastern,1:50am,4:30am ,2016-06-24 04:30:00,E07000241,Welwyn Hatfield
Ashfield,East Midlands,1.30-2.00am,4.00-5.00am,2016-06-24 05:00:00,E07000170,Ashfield
Eden,North West,2.00-3.00am,4.00-5.00am,2016-06-24 05:00:00,E07000030,Eden
Middlesbrough,North East,12.00-1.00am,4.00-5.00am,2016-06-24 05:00:00,E06000002,Middlesbrough
Northumberland,North East,2.00-3.00am,4.00-5.00am,2016-06-24 05:00:00,E06000057,Northumberland
Bassetlaw,East Midlands,1.00-2.00am ,4.00-5.00am ,2016-06-24 05:00:00,E07000171,Bassetlaw
Torridge,South West,2.00am,4.00-6.00am ,2016-06-24 06:00:00,E07000046,Torridge
Derbyshire Dales,East Midlands,2.00am,4.00-7.00am,2016-06-24 07:00:00,E07000035,Derbyshire Dales
Allerdale,North West,1.00am,4.00am,2016-06-24 04:00:00,E07000026,Allerdale
Argyll & Bute,Scotland,2.30am,4.00am,2016-06-24 04:00:00,S12000035,Argyll and Bute
Ashford,South Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000105,Ashford
Bedford,Eastern,2.00am,4.00am,2016-06-24 04:00:00,E06000055,Bedford
Birmingham,West Midlands,2.00am,4.00am,2016-06-24 04:00:00,E08000025,Birmingham
Blackburn,North West,1.30am,4.00am,2016-06-24 04:00:00,E06000008,Blackburn with Darwen
Breckland,Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000143,Breckland
Brentwood,Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000068,Brentwood
Brighton & Hove,South Eastern,2.00am,4.00am,2016-06-24 04:00:00,E06000043,Brighton and Hove
Broadland,Eastern,1.30 am,4.00am,2016-06-24 04:00:00,E07000144,Broadland
Bromley,London,2.00am,4.00am,2016-06-24 04:00:00,E09000006,Bromley
Bromsgrove,West Midlands,2.00am,4.00am,2016-06-24 04:00:00,E07000234,Bromsgrove
Cardiff,Wales,1.30am,4.00am,2016-06-24 04:00:00,W06000015,Cardiff
Ceredigion,Wales,1.30am,4.00am,2016-06-24 04:00:00,W06000008,Ceredigion
Chiltern,South Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000005,Chiltern
Craven,Yorkshire & Humber,1.00am,4.00am,2016-06-24 04:00:00,E07000163,Craven
Croydon,London,1.00am ,4.00am,2016-06-24 04:00:00,E09000008,Croydon
Daventry,East Midlands,1.30am,4.00am,2016-06-24 04:00:00,E07000151,Daventry
Doncaster,Yorkshire & Humber,1.00am,4.00am,2016-06-24 04:00:00,E08000017,Doncaster
East Hampshire,South Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000085,East Hampshire
East Hertfordshire,Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000242,East Hertfordshire
East Riding of Yorkshire,Yorkshire & Humber,1.00am,4.00am,2016-06-24 04:00:00,E06000011,East Riding of Yorkshire
East Staffordshire,West Midlands,1.00am,4.00am,2016-06-24 04:00:00,E07000193,East Staffordshire
Eastbourne,South Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000061,Eastbourne
Elmbridge,South Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000207,Elmbridge
Fareham,South Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000087,Fareham
Forest Heath,Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000201,Forest Heath
Gloucester,South West,2.00am,4.00am,2016-06-24 04:00:00,E07000081,Gloucester
Hambleton,Yorkshire & Humber,1.00am,4.00am,2016-06-24 04:00:00,E07000164,Hambleton
Harrogate,Yorkshire & Humber,1.00am ,4.00am,2016-06-24 04:00:00,E07000165,Harrogate
Havering,London,1.00am,4.00am,2016-06-24 04:00:00,E09000016,Havering
Huntingdonshire,Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000011,Huntingdonshire
Lewes,South Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000063,Lewes
Lichfield,West Midlands,1.00am,4.00am,2016-06-24 04:00:00,E07000194,Lichfield
Mansfield,East Midlands,1.45am,4.00am,2016-06-24 04:00:00,E07000174,Mansfield
Mendip,South West,2.30am,4.00am,2016-06-24 04:00:00,E07000187,Mendip
Mid Devon,South West,1.00am,4.00am,2016-06-24 04:00:00,E07000042,Mid Devon
Mid Sussex,South Eastern,1.30am,4.00am,2016-06-24 04:00:00,E07000228,Mid Sussex
Mole Valley,South Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000210,Mole Valley
Newcastle-under-Lyme,West Midlands,1.30am,4.00am,2016-06-24 04:00:00,E07000195,Newcastle-under-Lyme
Norwich,Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000148,Norwich
Pembrokeshire,Wales,1.00am,4.00am,2016-06-24 04:00:00,W06000009,Pembrokeshire
Redditch,West Midlands,2.00am,4.00am,2016-06-24 04:00:00,E07000236,Redditch
Rother,South Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000064,Rother
Rushcliffe,East Midlands,2.00am,4.00am,2016-06-24 04:00:00,E07000176,Rushcliffe
Ryedale,Yorkshire & Humber,1.00am,4.00am,2016-06-24 04:00:00,E07000167,Ryedale
Scottish Borders,Scotland,1.30am,4.00am,2016-06-24 04:00:00,S12000026,Scottish Borders
Selby,Yorkshire & Humber,1.00am,4.00am,2016-06-24 04:00:00,E07000169,Selby
Sevenoaks,South Eastern,1.00am,4.00am,2016-06-24 04:00:00,E07000111,Sevenoaks
South Cambridgeshire,Eastern,1.30am,4.00am,2016-06-24 04:00:00,E07000012,South Cambridgeshire
South Ribble,North West ,2.00am,4.00am,2016-06-24 04:00:00,E07000126,South Ribble
South Staffordshire,West Midlands,2.00am,4.00am,2016-06-24 04:00:00,E07000196,South Staffordshire
Southampton,South Eastern,1.30am,4.00am,2016-06-24 04:00:00,E06000045,Southampton
St. Edmundsbury,Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000204,St Edmundsbury
Stafford  ,West Midlands,1.30am,4.00am,2016-06-24 04:00:00,E07000197,Stafford
Stoke-on-Trent,West Midlands,2.00am,4.00am,2016-06-24 04:00:00,E06000021,Stoke-on-Trent
Stroud,South West,1.00am,4.00am,2016-06-24 04:00:00,E07000082,Stroud
Tendring,Eastern,12.00am,4.00am,2016-06-24 04:00:00,E07000076,Tendring
Test Valley,South Eastern,12.30am,4.00am,2016-06-24 04:00:00,E07000093,Test Valley
The Vale of Glamorgan,Wales,1.30am,4.00am,2016-06-24 04:00:00,W06000014,The Vale of Glamorgan
