Scottish Council Area 2011,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S12000021,138146,1462,1476,1480,1499,1503,1473,1453,1410,1444,1450,1489,1502,1597,1703,1719,1823,1790,1806,1662,1696,1679,1455,1621,1683,1508,1465,1481,1424,1439,1478,1504,1421,1401,1341,1424,1464,1538,1628,1732,1877,1999,1981,2022,2058,2116,2165,2228,2144,2218,2069,2021,1977,2114,1974,1943,1934,1871,1846,1834,1819,1826,1816,2030,2121,2122,1572,1703,1645,1558,1495,1406,1414,1327,1297,1166,1130,1062,1014,978,918,811,750,654,583,543,493,409,362,350,283,282,197,108,86,81,57,50,35,43,12,24
S12000044,337727,3892,4211,4159,4146,4141,3936,4067,3917,3772,3782,3863,3961,4190,4201,4338,4306,4122,4235,4297,4415,4224,4171,4162,4313,4171,4302,4236,4329,4387,4536,4610,4546,4299,3961,4041,4400,4358,4618,4673,5150,5055,5356,5408,5529,5405,5400,5589,5265,5348,5298,4911,4766,4740,4710,4467,4345,4159,4177,4036,3773,3928,3997,3951,4198,4095,3158,3344,3268,3099,2812,2705,2848,2671,2665,2356,2287,2200,2005,1894,1718,1697,1475,1302,1067,1063,870,753,658,503,515,404,302,186,130,122,88,76,39,49,28,26
S12000023,21349,209,205,231,220,242,213,199,194,202,196,218,227,246,247,267,310,271,276,244,205,218,236,207,239,233,219,212,201,222,194,230,221,230,196,188,221,223,226,267,279,287,301,289,340,372,357,360,318,360,317,331,339,306,309,326,296,327,295,316,294,299,288,341,318,360,243,292,270,282,259,216,271,227,196,182,165,166,156,120,126,128,135,112,92,102,69,70,60,54,52,44,21,22,23,18,15,5,5,10,4,7
S12000024,146652,1468,1456,1451,1533,1409,1448,1461,1428,1487,1483,1649,1691,1666,1829,1869,1847,1770,1859,1691,1514,1534,1284,1524,1586,1587,1605,1556,1680,1560,1662,1619,1546,1553,1428,1424,1453,1545,1619,1799,1966,1981,2080,2141,2267,2223,2390,2430,2310,2361,2200,2145,2041,2153,2194,2013,2029,1982,2016,2037,1936,1990,1981,2115,2225,2310,1795,1717,1689,1725,1526,1470,1479,1494,1391,1346,1270,1281,1112,1051,1085,1042,919,893,733,788,629,556,520,439,403,300,239,146,131,96,80,84,46,30,22,36
S12000038,174908,1971,1936,1924,1917,1888,1856,1927,1783,1694,1818,1904,1971,1909,2031,2089,2085,2004,2155,2260,2287,2198,2165,2186,2230,2239,2084,2149,2086,2155,2225,2304,2028,2010,1911,1877,1954,2084,2206,2230,2451,2630,2635,2738,2818,2870,2945,2919,2835,2825,2868,2908,2622,2655,2653,2342,2303,2255,2273,2065,2068,2191,2101,2156,2281,2292,1756,1867,1789,1667,1599,1551,1474,1492,1480,1472,1334,1308,1173,1078,1049,1027,880,813,699,618,627,467,422,356,360,305,231,126,108,116,79,52,42,28,19,15
S12000026,113870,1104,1099,1153,1188,1168,1124,1216,1182,1154,1229,1188,1259,1247,1313,1328,1389,1327,1360,1205,1128,1098,1096,1019,1079,980,1062,955,988,995,1029,1098,1040,988,992,963,1151,1301,1239,1409,1634,1635,1640,1788,1751,1866,1772,1982,1878,1863,1753,1797,1757,1772,1719,1678,1646,1571,1617,1584,1568,1621,1693,1739,1922,1962,1466,1487,1449,1416,1233,1227,1221,1241,1141,1070,1027,960,894,883,804,817,731,667,608,508,486,476,408,328,306,285,207,127,81,70,45,54,37,22,13,24
S12000027,23167,257,305,279,239,309,266,267,269,262,262,270,311,286,299,284,306,315,314,275,241,246,214,274,266,295,263,245,241,230,274,305,249,277,264,308,279,286,337,314,317,346,318,334,342,330,370,369,372,391,339,367,305,327,349,281,339,342,304,292,316,308,338,284,330,297,256,247,235,274,218,191,213,181,166,162,155,151,147,115,119,108,105,101,90,87,64,71,60,51,50,44,31,15,22,12,9,9,10,3,2,3
S12000028,112799,1117,1057,1087,1088,1163,1060,1094,1096,1056,1106,1157,1180,1286,1226,1358,1249,1355,1405,1230,1194,1244,1181,1189,1265,1271,1137,1096,1100,1015,1201,1122,1138,1113,1022,989,1112,1224,1234,1399,1452,1533,1518,1598,1636,1647,1679,1772,1774,1778,1773,1760,1670,1729,1725,1617,1575,1557,1572,1611,1540,1537,1603,1687,1736,1844,1438,1517,1501,1418,1281,1158,1257,1153,1156,1158,1065,1006,989,917,871,785,717,655,563,587,532,465,408,348,317,269,201,128,93,92,63,52,41,32,9,18
S12000029,313830,3415,3461,3484,3537,3504,3386,3308,3314,3209,3269,3393,3566,3568,3647,3761,3662,3783,4049,3745,3987,3623,3441,3471,3576,3509,3605,3519,3565,3577,3902,3923,3879,3593,3487,3529,3769,3960,3997,4387,4645,4858,4791,5017,5080,4960,4859,5242,5192,5193,4981,4960,4906,4798,4603,4593,4396,4321,4249,4083,4002,3726,3808,3908,4258,4098,3208,3308,3304,3198,2884,2791,2745,2630,2591,2560,2401,2160,2142,2050,1880,1733,1598,1501,1294,1178,1058,846,774,662,596,515,378,228,187,142,127,101,58,40,30,45
S12000030,90247,828,899,875,868,945,942,973,1010,937,928,1010,1114,1142,1178,1154,1212,1107,1064,1451,1781,1759,1600,1376,1381,1119,1082,984,925,942,909,854,900,904,909,954,943,967,1032,1148,1251,1313,1342,1322,1413,1314,1477,1496,1428,1399,1336,1335,1283,1262,1237,1170,1125,1083,1105,1051,1054,1106,1072,1142,1187,1305,939,908,988,922,859,801,806,809,743,766,688,640,616,578,574,497,483,397,366,322,316,290,233,199,165,162,126,75,72,57,39,29,26,17,12,13
S12000039,90720,1017,1069,1044,1096,1010,942,1009,920,918,871,892,1040,991,1022,1033,1126,1109,1149,1205,1225,1179,1138,1153,1178,1186,1156,1148,1092,1171,1176,1189,1045,984,931,1008,1053,1018,1094,1125,1229,1236,1314,1413,1457,1502,1510,1514,1462,1492,1416,1469,1337,1384,1380,1334,1304,1243,1173,1119,1132,1121,1068,1143,1187,1153,933,896,909,846,770,755,806,758,737,652,675,632,559,621,560,508,440,442,346,340,302,257,222,179,163,164,127,78,65,49,47,31,19,6,11,11
S12000040,175118,2258,2286,2332,2390,2299,2208,2213,2117,2061,2123,2086,2074,2214,2217,2257,2318,2285,2338,2089,2049,2039,1930,2075,2147,2200,2134,2105,2046,2245,2242,2302,2211,2195,2094,2070,2371,2427,2500,2691,2899,2859,2924,2984,2963,2999,2917,3073,2859,2877,2758,2628,2550,2464,2390,2221,2185,2022,2046,1999,2018,1961,2041,2043,2177,2136,1664,1698,1645,1546,1481,1354,1317,1349,1195,1124,1089,1004,857,752,868,668,630,569,471,471,394,308,325,228,224,170,131,89,78,49,40,30,20,16,13,20
